issue,date,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,sale,pool
2026081,2026-04-01,1,2,8,9,11,12,20,32,34,39,42,43,53,54,55,58,59,63,66,77,,
2026082,2026-04-02,2,5,11,16,23,25,26,29,33,39,57,62,64,68,69,74,76,77,79,80,,
2026083,2026-04-03,1,2,7,13,14,18,23,27,28,38,41,48,51,54,63,65,68,71,75,78,,
2026084,2026-04-04,5,8,17,33,34,35,38,42,43,46,49,50,57,59,60,66,71,72,74,80,,
2026085,2026-04-05,1,3,4,11,13,14,26,31,33,38,40,50,56,58,61,63,65,66,69,79,,
2026086,2026-04-06,1,3,5,7,11,15,17,24,28,29,34,39,45,47,53,57,63,66,72,79,,
2026087,2026-04-07,2,5,7,10,14,23,24,32,37,41,42,44,45,46,48,63,64,71,73,76,,
2026088,2026-04-08,8,9,13,14,18,22,25,33,39,40,44,46,49,55,64,66,68,71,77,80,,
2026089,2026-04-09,3,12,29,30,31,33,42,45,50,54,56,57,62,63,66,68,71,74,77,80,,
2026090,2026-04-10,1,4,8,10,20,22,33,35,36,44,49,51,53,59,62,65,69,71,77,78,,
2026091,2026-04-11,2,5,9,10,12,17,20,21,25,26,28,39,44,51,53,54,57,60,65,67,,
2026092,2026-04-12,2,3,8,14,17,20,24,30,33,35,38,44,45,56,59,61,67,71,76,77,,
2026093,2026-04-13,2,16,21,24,26,36,37,38,40,42,45,48,51,53,57,58,59,62,69,80,,
2026094,2026-04-14,4,7,11,13,18,19,26,31,35,38,42,43,51,53,54,57,59,67,69,74,,
2026095,2026-04-15,2,4,5,12,20,22,25,26,29,30,31,44,45,48,56,69,70,71,72,73,,
2026096,2026-04-16,1,4,8,9,10,13,15,17,20,24,26,33,34,35,36,41,44,51,53,60,,
2026097,2026-04-17,4,5,8,12,14,16,17,35,37,43,46,54,56,58,62,66,68,69,70,74,,
2026098,2026-04-18,6,7,15,17,18,19,21,23,26,29,34,36,49,52,65,67,69,72,77,80,,
2026099,2026-04-19,11,13,14,15,18,23,30,34,36,37,39,53,56,58,63,64,70,72,73,80,,
2026100,2026-04-20,3,5,7,12,15,17,20,29,36,37,38,39,42,48,50,58,64,67,68,77,,
2026101,2026-04-21,4,6,11,18,21,23,32,38,39,40,45,46,50,52,55,59,61,63,64,67,,
2026102,2026-04-22,6,9,15,17,21,27,28,33,37,39,40,41,42,46,47,64,70,77,78,79,,
